用户信息
用户昵称：冷知识bot
用户id: 3911558393
微博数: 769
关注数: 7
粉丝数: 971121

原创微博内容: 
微博序号	微博内容	微博位置	发布时间	点赞数	转发数	评论数	发布工具
79	打针时会不会有肉进入针管里？答案是肯定不会。打针输液用的针头一般都很细，肌肉有弹性能回缩。就是打针的时候针头把肉挤开了然后拔针的时候肌肉又会弹回去这样。从针的形状看，针头为楔形，属于斜切面，由于人的皮肤皮下脂肪、肌肉组织等结构的韧度比较高，在进针时会穿过这些组织。虽然针头可以刺破皮肤脂肪组织，但是肌肉有强度和韧性，而不像豆腐渣。针扎时，针头内的空气和肌肉内的压力也会生成一个压力差，但由于针头内径实太小，而肌肉又是固体和半固体，所以基本上没有存留的可能。可以想象，如果真的有肉留在了针管里，药物也就不能够推注进去了。当然有一种有针能够让肉留在针头里，这种针叫活检针，针头比较大，它用于活组织取样、细胞吸取等。必须注意的是，这种针头是有负压装置的，也就是说针扎进去后，还要施加一定压力才能把“肉”吸取到针头里。	无	2019-03-31 08:45	2690	298	503	无
80	植发是将后脑勺的毛囊提取出来，种植到需要的区域，类似一种“拆东墙补西墙”的方式，整个过程并没有给患者增加一根头发。 	无	2019-03-30 21:50	2949	618	1067	无
81	那些年易被误认为是宫崎骏的作品：1、《萤火虫之墓》导演：高畑勋2、《岁月的童话》导演：高畑勋3、《侧耳倾听》导演：近藤喜文4、《听见涛声》导演：望月智充5、《猫的报恩》导演：森田宏幸6、《回忆中的玛妮》导演：米林宏昌7、《借物少女艾莉缇》导演：米林宏昌8、《虞美人盛开的山坡》导演：宫崎吾郎宫崎骏≠吉卜力工作室，以上提到的人皆是或曾是吉卜力工作室的成员，高畑勋是元老之一。吉卜力工作室的作品画风上来看是比较一致的，所以很多时候有些作品会被误认为是宫崎骏大师的作品。	无	2019-03-30 19:55	4283	1939	768	无
82	能不能动耳朵和卷舌头并不是单一的相对性状，更不是由某一个基因决定。因此，与其说基因决定了你能或不能，不如说基因决定了你学习它们的难度。从基因的层面讲，控制耳朵和舌头的肌肉，都是由基因编码的。遗传学家和研究人员们证明，这种类似动耳朵和卷舌头通过肌肉控制的动作并不是简单的遗传现象。...全文	无	2019-03-30 17:05	1943	327	1580	无
83	西伯利亚的防熊套装，十九世纪初西伯利亚人穿着它来打猎或捕熊。 	无	2019-03-30 12:55	2385	367	625	无
84	1958年3月29日，李小龙获得香港恰恰舞冠军。 	无	2019-03-30 10:26	5875	547	313	无
85	关于“最长”的单词1.honorificabilitudinitatibus①27个字母组成，来自于莎士比亚的剧本love's labor’s lost《空爱一场》。②意思：“不胜光荣” 。2.antidisestablishmentarianism①28个字母组成，曾被英国首相格来斯顿1809-1898引述过一次。②意思：“反对教会与国家分开学说”。3.floccinaucinihilipilification ①29个字母组成，是被录入了《牛津英文辞典》的官方说法。②意思：“把某事的价值加以抹杀的行为或习惯”。4.hepaticocholecystostcholecystntenterostomy①40个字母组成，外科术语，是被录入了高德编的《医学辞典》的官方说法。②意思：“在胆囊与胆管之间或肠与胆囊之间接人工管子的手术”。5.pneumonoultramicroscopicsilicovolcanoconiosis①45个字母组成，被录入了《韦氏辞典》第八版的版本。②意思：“吸入硅酸盐细末或石英岩灰而形成的肺尘埃沉着病”。6.aequeosalinocalcalinoceraceoaluminosocupreovitriolie①52个字母组成，创自于英国医学作者爱德华·史特罗哲（1675-1737）。②意思：英格兰格洛斯特夏布瑞斯陀这个地方的矿泉水成分。7.bababadalgharaghtakamminarronnkonnbronntonnerronntuonnthunntrovarrhounawnskawntoohoohoordenenthurnuk①100个字母组成，来自于爱尔兰作家乔埃斯（1882-1942）作品。②意思：代表亚当和夏娃的堕落。8.lopadotemachoselachogaleokranioleipsanodrimhypotrimmatosilphioparaomelitokatakechymenokichlepikossyphophattoperisteralektryonoptekephalliokigklopeleiolagoiosiraiosiraiobaphetraganopterygon①182个字母组成，源出自希腊喜剧作家亚里斯多芬尼斯（Aristophanes）的剧本。②意思：由剩余的菜和牛肉蒸煮而成的辣味食物。9.methionylglutaminylarginyltyrosylglutamylserylleucyl-phenylalanylalanylglutaminylleucyllysylglutamylarginylly-sylglutamylglycylalanylphenylalanylvalylprolyphenylalany-lvalythreonylleucylglycylaspartylprolylglycylisoleucyl-glutamylglutaminylserylleucyllysylisoleucylaspartylthre-onylleucylisoleucylglutamylalanylglycylalanylasparthlal-anylleucylglutamylleucylglycylisoleucylprolylphenylalany-lserylaspartylprolylleucylalanylaspartylglycylprolylthreon-ylisoleucylglutaminylaspfraginylalanylthreonylleucylarfinyl-alanylphenylalanylalanylalanylglycylvalythreonylprolylalany-lglutaminylcysteinylphenylalanylglutamylmethionylleucylalan-ylleuoylisoleucylarginylglutaminyllysyhistidylprolylthreony-lisoleucylprolylisoleucylglycylleucylmethionyltyrosylalanyla-sparaginylleucylvalylphenylalanylasparaginyllysyglycylisoleuc-ylaspartylglutamylphenylalanylthrosylalanylglutaminylcysteinyl-glutamyllysylvalylglycylvalylaspartylserylvalylleucylvalylalnyl-aspartylvalylprolylvalylglutaminylglutamylserylalanylprolylpheny-lalanylarginylglutaminylalanylalanylleucylarginylhistidylasparag-inyvalylalanylprolylisoleucylprolylisoleucylphenylalanylisoleucyl-phenylalanylisoleucylcysteinylprolylprolylaspartylalanylaspartylas-partylaspartylleucylleucylarginylglutaminylisoleucylalanylseryltyr-osylglycylarginylglycyltyrosylthreonyltyrosylleucylleucylserylarginy-lalanylglycylvalylthreonylglycylalanylglutamylasparainylarginylalan-ylalanylleucylprolylleucylasparaginylhistidylleucylvalylalanyllysyll-eucyllysylglutamyltyrosylasparaginylalanylalanylprolylprolylleucylgl-utaminylglgycylphenylalanylglycylisoleucylserylalanylprolylaspartylg-lutaminylvalyllysylalanylalanylisoleucylaspartylalanylglycylalanylal-anylglycylalanylisoleucylserylglycylserylalanylisoleucylvalyllysyli-soieucylisoleucylglutamylglutaminylhistidylasparaginylisoleucylglu-tamylprolylglutamyllysylmethionylleucylalanylalanylleucyllysylvaly-lphenylalanylcalylglutaminylprolylmethionlysylal-anylalanylthreonylarginylserine①1913个字母组成，一种含有267种氨基酸酶。②意思：“色氨酸合成酶a蛋白质”（英文全称）。	无	2019-03-30 09:25	4904	1737	811	无
86	大家熟知的诗句“山有木兮木有枝，心悦君兮君不知”可能是描写同性间的感情的。首先该句出自《越人歌》：今夕何夕兮，搴（qiān）舟中流，今日何日兮，得与王子同舟。蒙羞被好兮，不訾（zǐ）诟耻。心几（jǐ）烦而不绝兮，得知王子。山有木兮木有枝，心悦君兮君不知。大致翻译一下，它表达的是这样的意思：今夜是怎样特殊的一个夜晚，我得以划船过河？今天是怎样特殊的日子，可以和王子皙同乘一舟？深蒙错爱啊不以我鄙陋为耻，因为对王子知之甚少无由结识，心上感到深深的忧愁烦闷。山上有树木啊，而树木也知情，我心中对你有好感啊，可你却并不知道。然后《越人歌》又选自《说苑》，且看原文（图二）。鄂君子皙是楚王的弟弟，坐船出游，有爱慕他的越人船夫抱着船桨对他唱歌。歌声悠扬，打动了鄂君，当即让人翻译成楚语，这便有了《越人歌》之词。鄂君明白歌意后，非但没有生气，还“行而拥之，举绣被而覆之”。西周春秋之时，江汉之间的鄂地世代为扬越人所居，他们先于楚人生活于古江汉地，可以算是江汉“土著”。不受中原礼俗约束，因此观念原始质朴，面对着美丽的封君，当然也不羞于表达自己情感。虽然整篇没有提及船夫的性别，但不妨细想在那个年代，同性恋风气已有流行之势，例如龙阳君和安阳君，此外，撑船的人如果是女子，一个人撑整只船有点过于勉强。因此，这有可能是一首表达同性感情的诗。 PS：不排除撑船的人是一位女子，因此全篇没有加任何绝对性的字眼，站在不同的角度，每个人对文学的解读都可能不同，哪怕是文学专家看法也不一样。	无	2019-03-29 23:20	5263	1335	864	无
87	大楼的屋顶直升机停机坪"H"是可以降落的，但"R"不能降落，只能靠悬停等待救援。 	无	2019-03-29 18:40	2612	280	284	无
88	爱神维纳斯是如何诞生的？希腊神话中，地母盖亚最先无性繁殖出了第一个孩子：天空之神“乌拉诺斯”。后来，盖亚和乌拉诺斯结婚了，没错，这对母子结婚了。夫妻（母子）俩生了许多孩子：12位泰坦、3个独眼巨人、3个百臂巨人，乌拉诺斯升级成了宙斯的爷爷。婚后，盖亚推举乌拉诺斯成为众神之王，但渐渐的，乌拉诺斯刚愎自用，越发不尊重他的母亲（妻子）了，于是两人开始反目成仇。盖亚命小儿子克洛诺斯割下其父乌拉诺斯的生殖器并丢进了海里，乌拉诺斯的生殖器与海水融合生出泡沫，维纳斯诞生。维纳斯在希腊语里也是“泡沫”的意思。	无	2019-03-29 16:30	2259	373	661	无
89	整理了一波小知识合集 	无	2019-03-29 10:10	2652	431	494	无
90	小丑鱼会主动变性小丑鱼，学名Amphiprioninae。因脸上有一到两条白色条纹，好似京剧中的丑角而得名，是一种热带鱼。在一个小丑鱼族群中，体型最大的那只是雌性，第二大的为雄性，其余则为未分化性别的小鱼。因此，当雌性小丑鱼（体型最大者）死去时，原本的雄鱼(体型第二大者)将自动变性，接替雌性小丑鱼的角色，而未分化小鱼中体型最大者将变成公鱼。辽阔的海洋中，拥有变性能力的鱼类其实还有很多，比如石斑鱼、红鲷鱼、羊头鱼、鹦嘴鱼等等。	无	2019-03-28 23:00	1819	223	347	无
91	黑猫警长的本名叫咪咪。 	无	2019-03-28 20:35	6930	6838	1952	无
92	柯基断尾的真相柯基最早是作为牧牛犬的。当有牛不听话时，它们就会咬牛的脚脖子，这时牛会感到疼痛，便会乱踩，为了防止柯基受伤，牧牛人就会剪掉柯基的尾巴。后来柯基逐渐成为了宠物犬，人们发现断尾后的柯基屁股好性感，广受欢迎，于是断尾就成了时尚。 	无	2019-03-28 16:30	2915	650	1211	无
93	公交车会超载吗？按照1987年国家颁布的《机动车安全运行技术条件》规定，城市公交每人占面积为0.125平方米，换算一下，理论上1平方米可以站8个人。按照一个普通公交车的规格，约25平方米，因此用这个数据可以计算该辆车可以满载200人，也就是说即使挤得再满公交车也不会超员。 	无	2019-03-28 10:50	1713	169	301	无
94	李小龙不仅会功夫，还会画画。 	无	2019-03-28 09:40	6489	956	396	无
95	小孩吃鱼子真的会变笨吗？ 小时候，估计很多人都遇到过长辈不让自己吃鱼子，说吃了鱼子会变笨。其实鱼子就是雌鱼卵巢成熟后所产生的卵子，里面含有丰富的核黄素、钙、磷、铁、维生素等，对大脑和骨髓的发展有益，因此儿童食用鱼子不仅不是坏事，还有益生长发育。那“变笨”之说从何而来？这个原因有很多种说法：①“鱼子”谐音“愚子”（白痴之意），小孩吃了就会变笨。②因为鱼子太多数也数不清，所以老年人就都用上一辈人的打趣话告戒小孩子不要吃鱼子，吃了就不会数数。③鱼子营养丰富，要把鱼子留给家中的老人，因此就用这种说法哄小孩罢了。其实民间还流传着许多不着边际的说法，大家可以说在评论区说说那些小时候以为是真的，长大后才发现自己被欺骗了的说法。	无	2019-03-27 22:45	1893	326	1010	无
96	康师傅泡面中的“康”字是健康的意思而非姓氏。 	无	2019-03-27 20:10	3169	230	410	无
97	关于米和秒的定义米：光在真空中于1/299 792 458秒内行进的距离。秒：铯133原子基态的两个超精细能阶之间跃迁时所辐射的电磁波的周期的9,192,631,770倍 的时间。 	无	2019-03-27 18:05	2338	292	289	无
98	红缨枪上的红缨不仅仅是为了美观长枪上的红缨最重要的一个作用就是吸血。被红缨枪刺中的伤口往往会因为深入动脉而喷溅出大量鲜血，这时红缨就可以阻止血液顺着杆子流下来，手滑不好握持，血遇到垂下的红缨会沿着红缨滴向地面坠落。此外作战时红缨可以起到迷惑敌人的作用，忽视枪尖的威胁。还可以判...全文	无	2019-03-27 13:35	6056	2604	574	无
99	商标是一个企业的标志，是企业文化的表现形式。对商标的保护可以让企业的信誉、形象得到保护。阿里巴巴就同时注册了阿里叔叔、阿里伯伯、阿里爷爷、阿里哥哥、阿里弟弟、阿里奶奶、阿里姐姐、阿里妹妹、阿里宝宝、阿里爸爸、阿里婶婶等等一堆商标。老干妈注册了老干爹、老干爸、老干娘、干儿子、干女儿、老姨妈等一堆商标。小米公司除了注册红米之外，也注册了蓝米、黑米、紫米、橙米、绿米、黄米、桔米，甚至连雷军的名字也注册成了商标，可以说是360度防范无死角。娃哈哈在注册该品牌的时候，同时注册了哈哈娃、哈娃娃、娃娃哈等商标。五粮液把1-10粮液全部都注册了，类似的还有百度集团把千度、万度、千百度通通都注册了一番。这些看起来很搞笑，但是也能从中看出商标的重要性。	无	2019-03-27 09:30	5640	1494	1112	无
100	很想转发说明一下，因为收到很多人投稿问是不是真的，转发时才发现小冷在该位博主的黑名单中，无法转发，然而并没有和他有半点交集，所以有点意外。言归正传，人体的再生能力肯定没有那么强。根据果壳网主编游识猷的解释，乳头受伤的话，小伤会愈合，如果失去的部分多了，就只会留下疤痕组织。此外乳晕上那些小凸起如果可以重新长成乳头，那么它们也会具有极大的癌变潜力，我们就会听说很多乳晕癌的例子，幸好并非如此。那些凸起只是蒙哥马利腺（montgomery glands），是皮脂腺，可以分泌油脂来提供润滑和保护。失去乳头的人可以考虑通过整形手术来重造乳头，想靠它自己再生显然是不可能的。	无	2019-03-26 23:16	2767	905	1338	无
101	“爱你”可以经常说，但是“我爱你”却总是说不出口。 	无	2019-03-26 22:25	6847	1199	887	无
102	很多人以为金字塔（如埃及最大的胡夫金字塔）是在一片广大的沙漠中央，其实它们就紧挨着吉萨市的市区。此外金字塔可能比你想象中的还要大。 	无	2019-03-26 20:36	3634	416	639	无
103	一分钟不一定都是60秒，还有闰秒。 	无	2019-03-26 17:01	3147	377	642	无
104	窃蛋龙并不偷蛋1923年，美国中亚考察队首次发现的窃蛋龙标本正位在一群恐龙蛋的上方，而这些恐龙蛋被认为属于原角龙。由于当时技术条件有限，认为这条龙正在偷取原角龙的蛋，因此取名窃蛋龙（偷蛋龙），并一直沿用。1993年，美国纽约自然历史博物馆，古生物专家马克教授来蒙古高原考察，并且发现了完整的恐龙胚胎化石。研究的结果是，这个胚胎是窃蛋龙的。他还发现这枚有胚胎的恐龙蛋化石与60年前发现的被窃蛋龙压在身下的恐龙蛋化石是一样的，也就是说，那些卵不是原角龙的，而是窃蛋龙自己的，如此一来，它偷吃原角龙蛋的假设也就不成立。根据国际动物命名法规窃蛋龙的名字是不能改变的。被误解是件永恒的事，这就是个一亿年后仍被冤枉的例子。一个不会偷蛋的恐龙被永远冠上了“窃蛋”的名字。	无	2019-03-26 13:40	2377	547	305	无
105	海绵是动物的一种，属于多孔动物门。海绵至今已发展到一万多种，由于形状像植物，而且根植在海底中，所以很久以来都被人们误认为是植物，但后来发现它们几乎具备所有最基本的动物特征，所以到十九世纪中期才被归入动物界。海绵动物体内有许多骨针，口感很差。没有人会选择海绵作为食品，感觉吃了就会扎一嘴小洞。但是有些动物会吃海绵。比如玳瑁和某些神仙鱼，额斑刺蝶鱼（别称“女王神仙”）正在吃海绵（图二）。大家平常用来清洁的“海绵”一般是合成材料，当然现在仍然有天然海绵进行商用开发，天然海绵的结构更有利于清洁皮肤，大家可以看下二者的结构对比（图三）。它们死后的身躯确实被人类拿来摩擦。	无	2019-03-26 09:05	2087	334	608	无
106	宫崎骏动漫里的那些小彩蛋。 	无	2019-03-25 23:26	6022	1352	365	无
107	猪猪小课堂开课了！每日推送冷知识，直接搜索“猪猪小课堂”，关注小冷唯一公主号。( ´͈ ᵕ `͈ )◞♡ 	无	2019-03-25 22:32	1259	7	82	无
108	雌性袋鼠有三个阴道，雄性袋鼠有一个分叉的阴茎。 	无	2019-03-25 21:41	1633	339	793	无
109	听起来很美的中药名：望月砂：兔类的干燥粪便。夜明砂：蝙蝠科动物的粪便。五灵脂：复齿鼯鼠的干燥粪便。白丁香：文鸟科动物麻雀的粪便。鸡矢白：家鸡粪便上的白色部分。凤凰衣：蛋壳内的卵膜。乌龙尾：古屋里的倒挂尘。血余炭：人发制成的炭化物。紫河车：人类的胎盘。百草霜：附于锅底或烟筒中所存的烟墨。伏龙肝：多年用柴草熏烧而结成的灶心土。人中黄：甘草末置竹筒内，于人粪坑中浸渍一定时间后的制成品。	无	2019-03-25 17:45	4868	1928	1033	无
110	中国历史上面额最大的纸币是1949年5月10日由新疆省银行（当时新疆称“省”）发行的60亿元纸币。 	无	2019-03-25 13:30	2515	337	380	无
111	跑步机最初是给囚犯用的劳动刑具。19世纪初，英国的犯罪率急剧上升，监狱里人满为患。如何改造顽固罪犯，让监狱头子们苦恼不堪。1818年，英国工程师William Cubitt发明了一种人力驱动的巨型装置，很快就被引入到监狱劳改中。它的名字叫Treadmill，翻译过来就是跑步机。1838年，为了禁止犯人交头接耳，跑步机还装上了隔板。试用了一段时间后，狱卒发现效果好得不行。一天下来，犯人们精力都耗光了，不打架不滋事，还为监狱实现了创收。1876年跑步机下凡到民间，被农民用来搅拌黄油，上面的“囚犯”换成了狗等牲畜。但对于囚犯本人来说，跑步机无疑是个“恐怖引擎”。纽约狱卒James Hardie认为：“永无止境的枯燥与重复，才是跑步机的最可怕之处。”1965年芬兰唐特力诞生了全球第一台家用跑步机。如今它是人们健身的好搭档，在内啡肽带来的愉悦中，一度忘了那个古老的预言：“这是一台理想的刑具。”	无	2019-03-25 09:35	3469	2562	660	无
112	冰岛小城阿克雷里，城内的红灯是一颗心。2008年冰岛的金融危机让整个国家陷入了低迷状态，北部小城阿克雷里为了鼓励大家，让大家不要因金融危机而对生活失去希望和信心，于是就发起了这个“用心微笑”的全城活动，换上了心形红灯。 	无	2019-03-24 22:20	6548	1113	646	无
113	每种动物都有自己的独门武器，比如公羊的武器就是头顶上威风的羊角。但有些弱小的公羊却几乎看不到羊角，这是为什么呢？这是因为个头大、羊角也很气派的领头羊会霸占羊群中的母羊。弱小的公羊为了有机会与母羊交配，只好放弃发育羊角，伪装成母羊混在羊群中，达成交配的目的。 	无	2019-03-24 19:45	2157	466	495	无
114	猫屎咖啡里确实有猫屎猫屎咖啡在印尼叫做Kopi Luwak，kopi是咖啡的意思，luwak则指的是麝香猫。猫屎咖啡是由印尼麝香猫的粪便作为原料所生产，故叫做“猫屎咖啡”。麝香猫的消化系统会对咖啡豆进行独特的发酵，但咖啡豆并不被消化而是排泄出来。印尼生产者将麝香猫圈养于小到跟兔笼一样大小的笼子，几乎只给麝香猫摄取咖啡豆，正常麝香猫还会以昆虫、水果为食，因此造就了麝香猫营养不良，甚至出现精神异常的情况。猫屎咖啡产量非常少，亦因此特别昂贵。2012年世博会上，印尼馆展示了猫屎咖啡，一杯4安士的咖啡可以卖到168美元（约合人民币1400元），而猫屎咖啡的香味较一般咖啡也更容易流失。	无	2019-03-24 17:33	1692	231	325	无
115	本子里的细纸条的由来印刷厂工人将纸张印刷好后，按每一本的数量规格用长纸条隔开，加上封面就可以进行一本一本的装订。因此它可以起到一个标记固定页数的隔断作用。此外这些细纸条均是来自废纸，节约环保。 	无	2019-03-24 13:15	2583	233	266	无
116	为什么网上禁止销售香烟？1、国家立法规定，烟草行业实行专卖专营制度，人、财、物、产、供、销由国家烟草专卖局（中国烟草总公司）及其下属机构进行统一管理。2、烟草行业的税收很重，如果网上贩卖卷烟成为趋势，那么偷逃大量税款会成为各地政府不能承受之痛。3、质量保障问题很难控制，退换货问题纠纷多。	无	2019-03-24 10:10	1774	208	529	无
117	1914年12月24日，这一天是平安夜。当天英军总部向各个部队发出警告：德军正准备在圣诞节发动袭击。但事实上，这个所谓的“袭击”情报完全是虚构的，因为英军总部不希望部队在圣诞节放松警惕。夜幕降临后，战场上照例出现零星的枪声。不过，枪声间隔的时间越来越久，后来完全停止了。一些德军士兵在战壕前面的防护墙上挂了灯笼做点缀，庆祝即将到来的圣诞节。英军这边的阵地上还能隐约听到德国人在战场另一端唱着圣诞颂歌。没过多久，这种圣诞的祥和气氛逐渐蔓延开来，英军这边也响起了庆祝圣诞节的歌声。一些较大胆的士兵高声朝阵地的另一边喊着：“圣诞快乐！”对面也立即传回了“圣诞快乐”的祝福。几个没带武器的德国士兵率先从战壕中走了出来，进入到战场中间的无人区中，向对面的英军士兵送上祝福。英军士兵也很快做出回应，纷纷放下武器进入到战场中间和德军士兵打起了招呼。双方士兵相互递烟，谁也想不到，同样就是这群人，在当天稍早一些时间，还都试图将对方置之死地。而此时此刻，大家却像久别重逢的老友，都在战场中间聊起了家常。这一小群德军和英军士兵友好接触的气氛很快感染了周边防区，整个西线战场上处于对峙状态的两军都停止了敌对行动，大家不约而同地过起了圣诞节，历史上将这一突发事件称为“圣诞停火”。战争毁灭人性，但“圣诞停火”事件却让人看到了即便身处世界大战中，也往往会展现出人性的闪光点，出现最不可思议的温情一幕。	无	2019-03-23 23:01	3606	726	325	无
118	2006年美国《时代周刊》年度风云人物是“你”。 	无	2019-03-23 20:43	3388	570	302	无
119	青铜器是现代人的称呼，很多青铜在古人使用的年代是金色的，出土后人们看到的青色是铜锈的颜色。 	无	2019-03-23 17:08	3585	804	307	无
120	拆塑料线吊牌的正确姿势：把吊牌线拉出卡口到一定长度，掉头再穿过去就可以轻松拆开了。 	无	2019-03-23 13:55	3385	686	592	无
121	Rat和Mouse是有区别的Rat（Rattus）是大鼠，Mouse（Mus musculus）是指小鼠。小鼠是应用最多的实验动物，我们今天所见的多数实验用的小鼠都是白色的，这是酪氨酸酶基因突变使得机体无法合成黑色素导致先天白化病的缘故。C57BL/6和Balb/C是最常用的两种小鼠。大鼠Rat是应用第二多的动物模型，相对于小鼠，大鼠更大因而更加方便解剖操作，性格更暴躁，对疾病抵抗力更高。Sprague-Dawley和Wistar是最常用的两种大鼠，两者均为白化品系。每年有超过1亿的动物被用来做实验，其中包括8000万只左右的鼠。因为人和鼠的基因很相似，大部分人体内导致疾病的蛋白，鼠也有。而多年来对鼠的研究，让我们对鼠的了解并不亚于自己本身。感谢每一个为人类牺牲的生命。	无	2019-03-23 11:05	2528	407	410	无
122	菠萝含有菠萝蛋白酶（Bromelain），这种酶会分解蛋白质，所以你吃下去的菠萝也在“消化”你。这也是为什么直接吃新鲜菠萝时舌头会产生刺痛感。 	无	2019-03-22 23:20	4333	1142	1277	无
123	二战期间，美国士兵喜欢在飞机机头上画上裸露的性感女郎，目的是鼓舞士气，同时分散敌人的注意力。由于需求量大，还催生出了一种职业，有擅长绘画的士兵，打仗的同时兼职帮人在飞机上作画，一幅能赚35美金。根据通货膨胀，二战时的35美金约等于现在的2100美金，换算成人民币就是14000多。 	无	2019-03-22 22:10	2551	315	387	无
124	如果最近感到片荒，可以去观看下本月推荐的电影《狂暴凶狮》。这是狮与人类之间的生死角逐，一场充满暴力美学与人性价值观碰撞的视听盛宴。顺便补充一个冷知识：并不是所有的雄狮都长有浓密的鬃毛，生活在肯尼亚和坦桑尼亚一带的查沃狮是唯一一种雄狮也没有鬃毛的狮子。 	无	2019-03-22 21:20	1827	152	204	无
125	黄喉不是食管，而是猪或者牛的主动脉。 	无	2019-03-22 17:15	3523	414	705	无
126	感受一下猎豹的真实叫声。 冷知识bot的秒拍视频 	无	2019-03-22 13:45	6885	3350	1433	无
127	Facebook蓝的由来Facebook是世界上最大的社交软件之一，它标志性的蓝色系设计也成为了它独一无二的标签。那么它的主色调为何设计成蓝色，而不是红色绿色橙色？根据《The New Yorker》的一次采访，其原因很简单，创始人扎克伯格（Mark Elliot Zuckerberg）是一个红绿色盲，“蓝色对我来说是最容易分辨的颜色。”	无	2019-03-22 10:06	2048	208	343	无
128	童话故事《白雪公主》里的七个小矮人分别叫糊涂鬼、万事通、害羞鬼、瞌睡虫、喷嚏精、开心果、爱生气。 	无	2019-03-21 23:06	6263	817	736	无
129	偷懒的emoji设计早在2008年，iOS系统发布了第一套emoji，让emoji这种交流形式流行至今。emoji（表情符号）来自日语词汇“絵文字”，假名为“えもじ”。2015年，一个叫 Peter Miller 的网友在推特上公布一个 “大发现”：当你用 PS 将苹果的 “微笑大便”emoji放在冰淇淋emoji上时，重合度近乎完美。2018年，苹果推出初代emoji十周年，曾参与初代emoji设计的 Angela Guzman 撰文回顾当年往事。当时还只是实习生的 Guzman 和自己的导师 Raymond 分工设计了苹果首批emoji，文中也承认了冰淇淋的emoji就是从大便复制过来的。	无	2019-03-21 21:40	2197	357	1064	无
130	关于达尔文奖（Darwin Awards）达尔文奖是由美国斯坦福大学神经学研究实验室工作人员温蒂·诺斯卡特（Wendy Northcutt）创立，通过网友投票，以平均得分最高的事件为该年度得奖者。一个得奖者必须表现得超出常理的白痴行为，如抛耍手榴弹（克罗地亚，1987年）、为了拍高空急降不穿降落伞就跳出机外（北卡罗来纳，1987年）、或用打火机照亮燃料槽来确定无可燃挥发气体（圣保罗，2002年）。达尔文奖的五个入选条件：①必须自我移除于人类基因库之外，即无繁殖能力、死亡或者已绝育。②必须展现惊人的判断误差，当事人须严重缺乏知识与判断力。③必须为自找的、主动而为的、为其死亡之导因。④必须具备充分的心智与判断能力，而且已成年并拥有为自己行为负责的能力。⑤必须为获得证实的事件，只接受具公信力的报刊、出版的文章、经证实的电视报导、可信目击证人的证词为消息来源。国内获奖事件：1、2004年10月，台湾嘉义2名男大学生在中秋节期间，几杯酒下肚之后进行“公鹿斗角”企图博取1名清秀佳人欢心。2人骑着摩托车以时速80公里撞向对方，2人当场死亡。该名清秀佳人事后只说“对他们都不感兴趣”。2、2003年，香港1名50岁男子向急症室求诊，发现1条长50厘米的鳗鱼在直肠之内，须施以外科手术取出。3、2008年，香港1名42岁男子于公园使用健身设施时，将生殖器套于设施的圆孔内自慰后无法拔出，遂报警求助，救护员最后决定将事主连人带板抬出送院抢救，这也是著名的活塞男事件。	无	2019-03-21 18:30	1887	542	314	无
131	实际上春分日全球都不是昼夜等长，而是昼长于夜，这主要是大气层对阳光的折射所致。 	无	2019-03-21 13:46	2359	214	207	无
132	兔儿神是中国传说中的神祇，专司同性间的爱情。 	无	2019-03-21 08:30	8008	3573	1658	无
133	动画电影《悬崖上的金鱼姬》是宫崎骏吉卜力工作室的代表作品之一。其中有一个细节，体现了吉卜力画师们追求细节到极致的创作态度。波妞吃拉面时，碗里有两片火腿。画师最开始画的时候原本是让波妞拿起最上面的那片，但经过思考，觉得下面的那片浸满了汤汁，更香更好吃，就调整了该细节。 	无	2019-03-20 22:56	6574	775	657	无
134	在古代，皇帝下达的命令叫谕，对某一问题的回复叫旨，发布的公告叫诏。正常的动词搭配应该是“传谕”，“请旨”和“下诏”。因此每次看古装剧里的太监喊“圣旨到”，然后主人公一脸懵逼的样子都觉得异常尴尬，你自己跟皇帝请示的问题你有什么好惊讶的。此外圣旨并不一定是金黄色。在明清时，对五品及以上的官员用诰命授予圣旨，五品以下则用敕命。官衔级别不同，圣旨的颜色也不同。五品及以上官员所得到的圣旨，由三彩、五彩或七彩绫分段织成，级别越高，颜色越多，五品以下的官员接到的圣旨一般是由纯白绫制成。而圣旨上所写的字，更是有红色、黑色、蓝色、绿色等很多种颜色。参考资料：《中国圣旨大观》（周庆明著，2006年由上海辞书出版社出版）	无	2019-03-20 20:20	3058	842	258	无
135	鞋带末端的包裹物叫绳花（Aglet）。 	无	2019-03-20 17:41	2252	192	457	无
136	关于视错觉（Pseudoblepsia）视错觉就是当人观察物体时，基于经验主义或不当的参照形成的错误判断和感知，在自身的心理因素支配下，对图形产生与客观事实不相符的错误感觉。一个小测试：图一中A和B两格的颜色是一样的吗？答案是完全一样，很多人一开始就认为A比B颜色要深，实则不是。不信的可以把A、B色块截下来进行对比，或者直接看右侧动图。其实，这都是大脑惹的锅。因为大脑总是在帮我们辨认生活周遭的颜色，它会自动调整我们所看到的图像。在上面这张图片中，A、B两个色块，一个是高入射光，一个是低入射光。所以即便两个阴影相同，大脑还是会自动认为B的阴影应该是比较浅的。换言之，是你的大脑欺骗了你的眼睛。这类图片所蕴藏的原理，就叫做：“视错觉”。	无	2019-03-20 10:00	3033	1185	933	无
